time,battery
1721885391.535,54,
1721885392.037,54,
1721885394.51,54,
1721885395.019,54,
1721885396.007,54,
1721885397.017,54,
1721885398.01,54,
1721885399.482,54,
1721885399.976,54,
1721885400.945,54,
1721885401.953,54,
1721885402.967,54,
1721885403.938,54,
1721885404.959,54,
1721885405.942,54,
1721885406.958,54,
1721885408.463,54,
1721885408.962,54,
1721885410.463,54,
1721885410.955,54,
1721885411.937,54,
1721885412.929,54,
1721885414.434,54,
1721885415.405,54,
1721885415.899,54,
1721885416.899,54,
1721885417.895,54,
1721885419.379,54,
1721885419.89,54,
1721885420.898,54,
1721885421.898,54,
1721885422.92,54,
1721885423.888,54,
1721885424.883,54,
1721885425.861,54,
1721885427.366,54,
1721885428.87,54,
1721885429.846,54,
1721885430.833,54,
1721885432.838,54,
1721885433.834,54,
1721885434.842,54,
1721885435.832,54,
1721885437.327,54,
1721885437.847,54,
1721885438.849,54,
1721885439.858,54,
1721885441.345,54,
1721885442.336,54,
1721885442.833,54,
1721885443.815,54,
1721885444.826,54,
1721885445.838,54,
1721885447.846,54,
1721885448.877,54,
1721885450.385,54,
1721885450.882,54,
1721885453.387,54,
1721885453.88,54,
1721885454.868,54,
1721885455.879,54,
1721885457.386,54,
1721885457.886,54,
1721885459.882,54,
1721885460.849,54,
1721885462.33,54,
1721885463.311,54,
1721885463.816,54,
1721885465.313,54,
1721885465.808,54,
1721885466.798,54,
1721885468.295,54,
1721885469.801,54,
1721885471.286,54,
1721885471.788,54,
1721885472.798,54,
1721885473.824,54,
1721885474.828,54,
1721885476.832,54,
1721885477.842,54,
1721885479.794,54,
1721885480.808,54,
1721885482.291,54,
1721885482.778,54,
1721885483.761,54,
1721885487.224,54,
1721885489.209,54,
1721885489.707,54,
1721885490.698,54,
1721885492.184,54,
1721885493.172,54,
1721885494.652,54,
1721885496.176,54,
1721885498.69,54,
1721885500.176,54,
1721885501.164,54,
1721885502.671,54,
1721885505.634,54,
1721885506.636,54,
1721885508.141,54,
1721885509.649,54,
1721885511.124,54,
1721885512.607,54,
1721885513.601,54,
1721885514.571,54,
1721885516.084,54,
1721885516.579,54,
1721885518.062,54,
1721885518.561,54,
1721885519.563,54,
1721885520.566,54,
1721885521.545,54,
1721885522.548,54,
1721885523.556,54,
1721885524.549,54,
1721885525.539,54,
1721885527.036,54,
1721885527.526,54,
1721885529.021,54,
1721885530.037,54,
1721885530.533,54,
1721885532.014,54,
1721885532.503,54,
1721885533.525,54,
1721885535.014,54,
1721885535.517,54,
1721885537.019,54,
1721885537.524,54,
1721885538.538,54,
1721885540.013,54,
1721885540.504,54,
1721885541.506,54,
1721885542.512,54,
1721885543.516,54,
1721885545.027,54,
1721885545.536,54,
1721885547.035,54,
1721885547.538,54,
1721885548.524,54,
1721885549.507,54,
1721885550.504,54,
1721885551.508,54,
1721885553.507,54,
1721885553.005,54,
1721885554.507,54,
1721885555.502,54,
1721885556.528,54,
1721885557.519,54,
1721885560.037,54,
1721885561.028,54,
1721885561.525,54,
1721885563.006,54,
1721885563.502,54,
1721885565.011,54,
1721885566.009,54,
1721885566.499,54,
1721885567.5,54,
1721885568.489,54,
1721885569.49,54,
1721885570.483,54,
1721885572.503,54,
1721885573.49,54,
1721885574.495,54,
1721885575.492,54,
1721885577.481,54,
1721885578.501,54,
1721885580.0,54,
1721885580.499,54,
1721885581.479,54,
1721885582.502,54,
1721885583.465,54,
1721885584.455,54,
1721885585.461,54,
1721885586.464,54,
1721885587.454,54,
1721885588.451,54,
1721885589.928,54,
1721885590.407,54,
1721885591.418,54,
1721885592.436,54,
1721885593.444,54,
1721885594.437,54,
1721885595.96,54,
1721885597.457,54,
1721885598.465,54,
1721885599.477,54,
1721885600.464,54,
1721885601.46,54,
1721885602.97,54,
1721885604.446,54,
1721885605.945,54,
1721885606.438,54,
1721885607.465,54,
1721885608.459,54,
1721885610.466,54,
1721885609.453,54,
1721885612.499,54,
1721885613.498,54,
1721885614.962,54,
1721885615.46,54,
1721885616.455,54,
1721885617.447,54,
1721885618.445,54,
1721885619.442,54,
1721885620.426,54,
1721885622.416,54,
1721885623.899,54,
