time,heart_rate
1721885804.822,82,
1721885807.346,80,
1721885807.845,79,
1721885808.838,79,
1721885809.841,78,
1721885810.838,78,
1721885811.841,78,
1721885813.85,78,
1721885814.849,82,
1721885816.318,84,
1721885817.336,88,
1721885817.839,90,
1721885818.817,91,
1721885820.305,91,
1721885820.809,91,
1721885821.788,90,
1721885822.79,90,
1721885823.772,90,
1721885824.772,89,
1721885825.762,89,
1721885827.257,88,
1721885827.757,86,
1721885828.765,86,
1721885830.258,85,
1721885831.239,85,
1721885832.247,85,
1721885833.248,85,
1721885833.751,84,
1721885835.726,82,
1721885837.706,81,
1721885836.715,81,
1721885838.684,81,
1721885840.194,82,
1721885840.683,83,
1721885841.658,82,
1721885842.63,82,
1721885843.636,80,
1721885846.13,78,
1721885846.616,77,
1721885847.609,77,
1721885848.616,77,
1721885850.123,77,
1721885850.627,77,
1721885851.638,79,
1721885852.646,80,
1721885854.638,80,
1721885855.641,80,
1721885856.619,80,
1721885857.61,80,
1721885858.6,81,
1721885859.613,82,
1721885862.07,84,
1721885862.581,84,
1721885863.585,83,
1721885865.1,83,
1721885866.097,82,
1721885867.086,81,
1721885868.087,80,
1721885868.563,79,
1721885869.56,78,
1721885870.567,78,
1721885871.562,78,
1721885874.055,82,
1721885874.562,82,
1721885875.555,81,
1721885877.57,79,
1721885879.07,78,
1721885880.052,78,
1721885881.053,79,
1721885881.562,81,
1721885883.579,81,
1721885884.545,81,
1721885886.534,86,
1721885887.529,86,
1721885888.538,86,
1721885889.541,85,
1721885890.52,85,
1721885892.005,85,
1721885892.513,85,
1721885894.483,85,
1721885893.502,85,
1721885895.486,85,
1721885896.479,85,
1721885897.478,90,
1721885898.475,87,
1721885899.468,87,
1721885903.951,81,
1721885904.953,80,
1721885905.465,80,
1721885906.453,80,
1721885907.474,80,
1721885908.466,85,
1721885909.467,86,
1721885910.467,88,
1721885911.45,88,
1721885912.962,89,
1721885913.454,88,
1721885914.953,87,
1721885916.458,84,
1721885918.941,81,
1721885919.43,81,
1721885920.944,81,
1721885921.444,81,
1721885923.437,81,
1721885924.438,81,
1721885926.902,79,
1721885928.4,81,
1721885929.417,81,
1721885930.421,81,
1721885931.42,80,
1721885932.417,79,
1721885933.416,79,
1721885934.431,80,
1721885935.447,81,
1721885936.954,80,
1721885937.448,80,
1721885938.458,80,
1721885939.425,85,
1721885940.458,87,
1721885941.476,85,
1721885942.483,85,
1721885943.484,83,
1721885944.475,81,
1721885945.473,80,
1721885946.479,80,
1721885947.503,80,
1721885948.502,80,
1721885949.498,80,
1721885950.494,83,
1721885951.999,84,
1721885953.005,84,
1721885953.515,83,
1721885954.49,83,
1721885955.484,83,
1721885956.489,82,
1721885958.449,80,
1721885959.417,79,
1721885960.424,79,
1721885961.402,79,
1721885962.391,79,
1721885963.39,80,
1721885964.383,82,
1721885965.403,82,
1721885966.39,83,
1721885967.38,82,
1721885968.376,81,
1721885969.855,81,
1721885970.334,80,
1721885971.321,79,
1721885971.324,79,
1721885973.316,78,
1721885974.327,78,
1721885974.809,78,
1721885976.812,80,
1721885977.31,81,
1721885980.309,81,
1721885980.294,81,
1721885982.771,80,
1721885983.282,79,
1721885983.785,79,
1721885985.264,79,
1721885986.259,79,
1721885986.254,79,
1721885988.733,80,
1721885989.746,81,
1721885989.72,81,
1721885990.227,79,
1721885992.214,76,
1721885992.207,76,
1721885993.225,75,
1721885995.719,75,
1721885995.228,75,
1721885996.212,74,
1721885998.216,74,
1721885998.71,74,
1721885999.706,84,
1721886001.19,84,
1721886004.177,86,
1721886005.151,87,
