time,tech_perfusion
1721885230.316,0.64,
1721885231.321,0.75,
1721885233.287,0.6,
1721885234.29,0.37,
1721885235.782,0.79,
1721885236.284,0.79,
1721885237.277,0.82,
1721885238.791,0.69,
1721885239.279,0.69,
1721885240.269,0.23,
1721885241.281,0.54,
1721885242.29,0.76,
1721885243.301,1.01,
1721885244.815,1.01,
1721885246.328,0.71,
1721885247.309,0.7,
1721885248.295,0.74,
1721885249.287,0.76,
1721885250.288,0.58,
1721885251.281,0.88,
1721885252.288,0.88,
1721885253.295,1.33,
1721885255.28,0.21,
1721885256.259,0.23,
1721885257.259,0.46,
1721885258.227,0.36,
1721885259.225,0.55,
1721885260.225,0.48,
1721885261.238,0.66,
1721885262.249,0.91,
1721885263.227,1.18,
1721885264.227,0.53,
1721885265.222,0.42,
1721885266.211,0.43,
1721885267.736,0.49,
1721885268.725,0.65,
1721885269.216,0.84,
1721885271.19,0.67,
1721885272.201,0.68,
1721885273.194,0.68,
1721885274.204,0.71,
1721885277.171,0.62,
1721885278.683,0.32,
1721885279.704,1.02,
1721885280.218,0.68,
1721885281.687,0.49,
1721885282.193,0.49,
1721885283.213,0.63,
1721885284.208,0.47,
1721885285.2,0.46,
1721885286.699,0.58,
1721885287.185,0.58,
1721885288.173,0.46,
1721885289.175,0.46,
1721885290.172,0.29,
1721885291.161,0.49,
1721885292.647,0.6,
1721885293.648,0.54,
1721885294.152,1.17,
1721885295.138,0.58,
1721885296.15,0.4,
1721885297.157,0.48,
1721885298.139,0.62,
1721885299.133,0.75,
1721885300.14,0.3,
1721885301.643,0.33,
1721885302.671,0.24,
1721885303.659,0.24,
1721885304.662,0.55,
1721885305.149,0.56,
1721885306.164,0.38,
1721885307.164,0.55,
1721885308.179,0.56,
1721885309.176,0.51,
1721885310.177,0.44,
1721885311.142,0.07,
1721885312.146,0.53,
1721885313.149,0.41,
1721885314.168,0.41,
1721885315.679,0.52,
1721885316.176,0.52,
1721885317.17,0.61,
1721885318.161,0.83,
1721885319.163,0.71,
1721885320.141,0.16,
1721885321.156,0.62,
1721885322.164,0.7,
1721885323.171,0.49,
1721885324.188,0.64,
1721885325.183,0.64,
1721885327.664,0.48,
1721885330.179,0.48,
1721885331.151,0.48,
1721885332.155,0.41,
1721885333.156,0.11,
1721885334.63,0.11,
1721885335.144,0.75,
1721885336.655,0.75,
1721885337.148,0.81,
1721885338.152,0.81,
1721885339.146,0.81,
1721885340.126,0.69,
1721885341.111,0.48,
1721885342.093,0.59,
1721885343.087,0.42,
1721885344.08,0.35,
1721885345.07,0.54,
1721885346.067,0.3,
1721885347.095,0.53,
1721885348.092,0.55,
1721885349.078,0.54,
1721885350.08,0.44,
1721885354.992,0.6,
1721885356.005,0.52,
1721885356.981,0.35,
1721885358.505,0.37,
1721885359.006,0.59,
1721885360.014,0.42,
1721885361.038,0.39,
1721885363.488,0.43,
1721885364.004,0.48,
1721885365.482,0.48,
1721885366.504,0.49,
1721885367.008,0.55,
1721885368.496,0.46,
1721885368.998,0.51,
1721885370.488,0.57,
1721885372.004,0.58,
1721885373.479,0.55,
1721885374.501,0.56,
1721885375.001,0.46,
1721885376.502,0.46,
1721885376.999,0.6,
1721885378.49,0.51,
1721885378.991,0.37,
1721885380.51,0.43,
1721885381.013,0.54,
1721885383.019,0.5,
1721885382.02,0.88,
1721885384.033,0.52,
1721885386.041,0.49,
1721885387.533,0.43,
1721885388.019,0.43,
1721885391.535,0.57,
1721885392.037,0.58,
1721885394.51,0.69,
1721885395.019,0.71,
1721885396.007,1.1400000000000001,
1721885397.017,0.49,
1721885398.01,0.79,
1721885399.482,0.79,
1721885399.976,0.47,
1721885400.945,0.47,
1721885401.953,0.59,
1721885402.967,0.46,
1721885403.938,0.41,
1721885404.959,0.48,
1721885405.942,0.48,
1721885406.958,0.6,
1721885408.463,0.92,
1721885408.962,0.72,
1721885410.463,0.47,
1721885410.955,0.4,
1721885411.937,0.39,
1721885412.929,0.67,
1721885414.434,0.44,
1721885415.405,0.51,
1721885415.899,0.74,
1721885416.899,0.6,
1721885417.895,0.45,
1721885419.379,0.44,
1721885419.89,0.45,
1721885420.898,0.48,
1721885421.898,0.41,
1721885422.92,0.36,
1721885423.888,0.36,
1721885424.883,0.36,
1721885425.861,0.46,
1721885427.366,0.35,
1721885428.87,0.4,
1721885429.846,0.4,
1721885430.833,0.47,
1721885432.838,0.61,
1721885433.834,0.39,
1721885434.842,0.4,
1721885435.832,0.37,
1721885437.327,0.4,
1721885437.847,0.44,
1721885438.849,0.4,
1721885439.858,0.4,
1721885441.345,0.37,
1721885442.336,0.12,
1721885442.833,0.36,
1721885443.815,0.52,
1721885444.826,0.43,
