time,perfusion
1721885552.005,0.54,
1721885553.507,0.54,
1721885554.502,0.54,
1721885555.528,0.54,
1721885556.519,0.54,
1721885559.037,0.54,
1721885560.028,0.54,
1721885560.525,0.54,
1721885562.006,0.54,
1721885562.502,0.54,
1721885564.011,0.53,
1721885565.009,0.53,
1721885565.499,0.53,
1721885566.5,0.53,
1721885567.489,0.54,
1721885568.49,0.54,
1721885569.483,0.54,
1721885571.503,0.54,
1721885572.49,0.54,
1721885573.495,0.54,
1721885574.492,0.54,
1721885576.481,0.54,
1721885577.501,0.54,
1721885579.0,0.54,
1721885579.499,0.53,
1721885580.479,0.53,
1721885581.502,0.53,
1721885582.465,0.53,
1721885583.455,0.55,
1721885584.461,0.55,
1721885585.464,0.55,
1721885586.454,0.55,
1721885587.451,0.55,
1721885588.928,0.56,
1721885589.407,0.56,
1721885590.418,0.56,
1721885591.436,0.56,
1721885592.444,0.56,
1721885593.437,0.56,
1721885594.96,0.56,
1721885596.457,0.56,
1721885597.465,0.56,
1721885598.477,0.56,
1721885599.464,0.56,
1721885600.46,0.56,
1721885601.97,0.56,
1721885603.446,0.56,
1721885604.945,0.56,
1721885605.438,0.56,
1721885606.465,0.56,
1721885607.459,0.56,
1721885609.466,0.56,
1721885608.453,0.56,
1721885611.499,0.56,
1721885612.498,0.5,
1721885613.962,0.5,
1721885614.46,0.5,
1721885615.455,0.5,
1721885616.447,0.5,
1721885617.445,0.5,
1721885618.442,0.5,
1721885619.426,0.5,
1721885621.416,0.5,
1721885622.899,0.5,
1721885623.397,0.5,
1721885624.386,0.5,
1721885625.893,0.5,
1721885626.888,0.5,
1721885627.38,0.5,
1721885628.871,0.5,
1721885629.865,0.59,
1721885630.372,0.59,
1721885631.865,0.59,
1721885632.87,0.59,
1721885633.879,0.59,
1721885634.364,0.62,
1721885635.355,0.62,
1721885636.868,0.62,
1721885637.361,0.62,
1721885638.84,0.62,
1721885639.358,0.62,
1721885641.868,0.64,
1721885642.363,0.64,
1721885643.373,0.64,
1721885644.86,0.64,
1721885645.367,0.64,
1721885647.867,0.64,
1721885648.379,0.64,
1721885649.383,0.64,
1721885651.393,0.64,
1721885653.39,0.64,
1721885654.402,0.64,
1721885655.399,0.64,
1721885656.407,0.64,
1721885657.411,0.64,
1721885658.899,0.64,
1721885659.881,0.64,
1721885660.378,0.64,
1721885661.854,0.64,
1721885662.851,0.64,
1721885663.358,0.64,
1721885665.363,0.64,
1721885666.842,0.64,
1721885667.35,0.64,
1721885668.364,0.64,
1721885669.372,0.64,
1721885670.881,0.64,
1721885671.379,0.63,
1721885672.371,0.63,
1721885673.35,0.65,
1721885674.847,0.65,
1721885675.865,0.65,
1721885676.355,0.65,
1721885677.841,0.65,
1721885680.344,0.65,
1721885681.327,0.65,
1721885682.329,0.65,
1721885683.343,0.66,
1721885684.34,0.66,
1721885685.347,0.66,
1721885686.347,0.66,
1721885687.349,0.66,
1721885688.857,0.66,
1721885689.366,0.67,
1721885690.375,0.66,
1721885691.372,0.66,
1721885692.366,0.66,
1721885693.361,0.65,
1721885694.34,0.64,
1721885695.852,0.61,
1721885697.333,0.59,
1721885698.347,0.59,
1721885699.327,0.59,
1721885700.811,0.58,
1721885703.285,0.55,
1721885705.256,0.51,
1721885706.255,0.51,
1721885707.251,0.51,
1721885708.222,0.51,
1721885709.249,0.51,
1721885710.247,0.51,
1721885711.728,0.51,
1721885712.228,0.51,
1721885713.205,0.51,
1721885714.204,0.51,
1721885715.692,0.5,
1721885716.681,0.5,
1721885717.185,0.5,
1721885718.184,0.5,
1721885719.187,0.5,
1721885720.175,0.5,
1721885721.153,0.5,
1721885722.15,0.5,
1721885723.138,0.5,
1721885725.129,0.5,
1721885729.061,0.5,
1721885730.078,0.5,
1721885731.083,0.5,
1721885732.083,0.5,
1721885733.546,0.5,
1721885734.044,0.5,
1721885735.059,0.5,
1721885736.059,0.5,
1721885737.052,0.5,
1721885738.526,0.47,
1721885739.029,0.47,
1721885740.023,0.47,
1721885742.018,0.47,
1721885744.012,0.47,
1721885745.003,0.47,
1721885746.513,0.47,
1721885746.022,0.47,
1721885747.026,0.47,
1721885748.037,0.48,
1721885749.048,0.48,
1721885750.071,0.48,
1721885753.084,0.48,
1721885754.08,0.48,
1721885755.078,0.48,
1721885756.055,0.48,
1721885757.061,0.48,
1721885758.039,0.48,
1721885759.04,0.48,
1721885760.041,0.48,
1721885761.055,0.48,
1721885763.536,0.48,
1721885764.022,0.48,
1721885765.046,0.48,
1721885766.045,0.48,
1721885767.532,0.48,
1721885769.022,0.48,
1721885771.497,0.48,
1721885771.997,0.4,
1721885772.999,0.4,
1721885774.485,0.4,
1721885775.482,0.4,
1721885780.452,0.4,
1721885780.95,0.4,
1721885781.907,0.4,
1721885783.416,0.4,
1721885783.92,0.4,
1721885785.42,0.4,
